002297051-0001,2013-08-26,Urząd Harmonizacji Rynku Wewnętrznego,Kształt obudowy kuchennej maszynki do mielenia.,Wzór przemysłowy,Piotr Strojny/Mariusz Wacław Sobolak,Politechnika Rzeszowska im. Ignacego Łukasiewicza; Wydział Budowy Maszyn i Lotnictwa
002316059-0001,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Karabinek podstawowy w układzie bezkolbowym,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Paweł Madej/Tomasz Nita/Norbert Piechota/Łukasz Szmit/Mirosław Zahor/Ryszard Bogumił Woźniak,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002316059-0002,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Karabinek-granatnik w układzie bezkolbowym,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Paweł Madej/Tomasz Nita/Norbert Piechota/Łukasz Szmit/Mirosław Zahor/Ryszard Bogumił Woźniak,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002316059-0003,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Karabinek wyborowy w układzie bezkolbowym,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Paweł Madej/Tomasz Nita/Norbert Piechota/Łukasz Szmit/Mirosław Zahor/Ryszard Bogumił Woźniak,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002316059-0004,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Karabinek maszynowy w układzie bezkolbowym,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Paweł Madej/Tomasz Nita/Norbert Piechota/Łukasz Szmit/Mirosław Zahor/Ryszard Bogumił Woźniak,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002316059-0005,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Subkarabinek w układzie bezkolbowym,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Paweł Madej/Tomasz Nita/Norbert Piechota/Łukasz Szmit/Mirosław Zahor/Ryszard Bogumił Woźniak,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002316059-0006,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Karabinek wyborowy w układzie klasycznym,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Paweł Madej/Tomasz Nita/Norbert Piechota/Łukasz Szmit/Mirosław Zahor/Ryszard Bogumił Woźniak,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002316059-0007,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Karabinek maszynowy w układzie klasycznym,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Paweł Madej/Tomasz Nita/Norbert Piechota/Mirosław Zahor/Ryszard Bogumił Woźniak/Łukasz Szmit,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002316059-0008,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Subkarabinek w układzie klasycznym,Wzór przemysłowy,Andrzej Arczewski/Adam Gawron/Paweł Madej/Tomasz Nita/Norbert Piechota/Łukasz Szmit/Mirosław Zahor/Ryszard Bogumił Woźniak,Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego; Wydział Mechatroniki i Lotnictwa
002316612-0001,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002316612-0002,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002316612-0003,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002316612-0004,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002316612-0005,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002316612-0006,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002316612-0007,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002316612-0008,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002316612-0009,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002316612-0010,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002316612-0011,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002316612-0012,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002316612-0013,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002316612-0014,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
002316612-0015,2013-09-26,Urząd Harmonizacji Rynku Wewnętrznego,Przyrządy dydaktyczne [oprócz pomocy audiowizualnych],Wzór przemysłowy,Stanisław Bednarek,Uniwersytet Łódzki/Uniwersytet Łódzki; Wydział Fizyki i Informatyki Stosowanej
